block,trial_number,valid_trial,staircase_trial,motion_direction,quadrant,eccentricity,jitter_dva,flash_dva,flash_seconds,response,probe_offset_dva,staircase_identity,step_size_dva,staircase_direction,staircase_reversals
3,89,valid,C,uniform_control,lower_right,outer,0,11,1,inner,-5,catch_trial,0.666666666666667,1,7
3,90,valid,11,petal,lower_right,inner,-1,6,0.75,inner,-2.83333333333333,lower_petal,0.666666666666667,-1,6
4,91,valid,12,uniform_control,lower_right,outer,-1,10,1,inner,-1.83333333333333,lower_control,0.666666666666667,1,7
4,92,valid,C,uniform_control,lower_left,outer,0,11,1,outer,5,catch_trial,0.666666666666667,1,7
4,93,valid,12,fugal,upper_right,inner,1,8,1,outer,0,upper_fugal,0.666666666666667,1,7
4,94,valid,13,fugal,upper_right,outer,1,12,0.75,outer,-0.444444444444444,upper_fugal,0.444444444444444,-1,8
4,95,valid,C,uniform_control,upper_right,inner,0,7,1,inner,-5,catch_trial,0.444444444444444,-1,8
4,96,valid,13,uniform_control,lower_left,outer,-1,10,0.75,inner,-1.16666666666667,lower_control,0.666666666666667,1,7
4,97,valid,12,fugal,lower_left,outer,1,12,1,inner,-0.962962962962963,lower_fugal,0.296296296296296,-1,10
4,98,valid,C,fugal,lower_right,inner,0,7,1,inner,-5,catch_trial,0.296296296296296,1,11
4,99,valid,12,uniform_control,upper_right,outer,0,11,1.25,inner,-1.94444444444444,upper_control,0.444444444444444,-1,8
4,100,valid,12,petal,lower_left,outer,0,11,1.25,inner,-2.16666666666667,lower_petal,0.666666666666667,1,7
4,101,valid,13,petal,lower_right,inner,-1,6,1,outer,-1.5,lower_petal,0.666666666666667,1,7
4,102,valid,C,petal,upper_left,outer,0,11,1,outer,5,catch_trial,0.666666666666667,1,7
4,103,valid,12,petal,upper_right,inner,1,8,1,outer,-1.16666666666667,upper_petal,0.666666666666667,1,7
4,104,valid,13,uniform_control,upper_left,inner,0,7,1,inner,-1.5,upper_control,0.444444444444444,1,9
4,105,valid,14,fugal,upper_left,outer,-1,10,1,inner,-0.888888888888889,upper_fugal,0.444444444444444,-1,8
4,106,valid,13,petal,upper_right,outer,0,11,1.25,outer,-1.61111111111111,upper_petal,0.444444444444444,-1,8
4,107,valid,14,petal,lower_left,inner,0,7,0.75,inner,-1.94444444444444,lower_petal,0.444444444444444,-1,8
4,108,valid,14,uniform_control,upper_right,inner,0,7,0.75,outer,-1.05555555555556,upper_control,0.444444444444444,1,9
4,109,valid,14,uniform_control,lower_left,inner,0,7,1.25,outer,-0.5,lower_control,0.666666666666667,1,7
4,110,valid,13,fugal,lower_right,inner,0,7,0.75,outer,-0.666666666666667,lower_fugal,0.296296296296296,1,11
